Material;Descrição;Status;PP_TIPO_SACO_COLADO;PP_ALTURA_UTIL;PP_FACE;PP_PATCH;PP_FUNDO;PP_FUNDO_INF;PP_VALVULA;PP_PERFURADO_TUBEIRA;PP_PERFURADO_COLADEIRA;PP_FUROS_COLADEIRA;PP_DIAMETRO_FUROS_COLADEI;PP_NUMERO_FOLHAS;PP_PAPEL_EXTERNO;PP_GRAMATURA_EXTERNO;PP_PAPEL_2;PP_GRAMATURA_2;PP_PAPEL_3;PP_GRAMATURA_3;PP_PAPEL_4;PP_GRAMATURA_4;PP_PAPEL_5;PP_GRAMATURA_5;PP_PAPEL_INTERNO;PP_GRAMATURA_INTERNO;PP_TIP_PERF_FOL_EXT;PP_TIP_PERF_FOL_2;PP_TIP_PERF_FOL_3;PP_TIP_PERF_FOL_4;PP_TIP_PERF_FOL_5;PP_TIP_PERF_FOL_INT;PP_LARGURA_PEAD;PP_PERMEANCIA
512605;COLMI 70x56 ARGAMIL 3 MULTIUSO 20KG;L;COLMI;405;335;X;120;120;120;S;N;;;2;SDK;70;;;;;;;;;SAK;70;MIC PERF TOTAL;;;;;MIC PERF TOTAL;;20
519922;COLME 104x76 DEXTRINA CADEX E094;C;COLME;595;510;D;140;;140;N;N;;;3;SAK;71;PAS;10;;;;;;;SAK;71;;;;;;;1030;40
528330;COLMI 87x64 80183100 GREEN 50LBS;C;COLMI;515;420;N;90;;90;N;N;;;2;SAK;85;;;;;;;;;SAK;85;;;;;;;;90
528500;COLMI 78x59  80219303 RED 50LBS;C;COLMI;465;380;N;90;;90;S;N;;;2;SAK;85;;;;;;;;;SAK;85;MIC PERF TOTAL;;;;;MIC PERF TOTAL;;65
529545;COLVA 98x72 ALBAÑILERIA 42,5KG NO TE FAL;C;COLVA;580;480;X;105;;105;S;N;;;3;SAK;85;PAX;10;;;;;;;SAK;85;MIC PERF TOTAL;NÃO PERFURAR;;;;MIC PERF TOTAL;970;40
529557;COLVA 98x72 ALBAÑILERIA 42,5KG ASEGURAS;C;COLVA;580;480;X;105;;105;S;N;;;3;SAK;85;PAX;10;;;;;;;SAK;85;MIC PERF TOTAL;NÃO PERFURAR;;;;MIC PERF TOTAL;970;10
530216;COLMI78X64 80077726 DOLOWHITE POOL GRADE;C;COLMI;460;380;X;135;;135;N;N;;;2;SAK;85;;;;;;;;;SAK;75;;;;;;;;43
530542;COLMI  85x75 80077720 HIGH CALCIUM LIME;C;COLMI;585;405;X;127;;127;S;S;72;1.00;3;SAK;90;PAX;8;;;;;;;SAK;90;NÃO PERFURAR;NÃO PERFURAR;;;;MIC PERF TOTAL;820;45
533835;COLMI  96x72  80219901 CP 7;C;COLMI;580;470;X;100;;100;N;N;;;2;SAK;90;;;;;;;;;SAK;90;;;;;;;;50
533853;COLMI  96x72  80219867 Black Charm;C;COLMI;580;470;X;100;;100;N;N;;;2;SAK;90;;;;;;;;;SAK;90;;;;;;;;50
533863;COLMI  96x72  80219865 BLANK TOP;C;COLMI;580;470;X;100;;100;N;N;;;2;SAK;90;;;;;;;;;SAK;90;;;;;;;;50
533877;COLMI  96x72  80219868 C & C;C;COLMI;580;470;X;100;;100;N;N;;;2;SAK;90;;;;;;;;;SAK;90;;;;;;;;50
